"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"57","D01304","NoB133",2023,"NorthBank","43.326056199999996","-123.2253097","m","40","7","142","142","175","179","141","149","129","129","199","199","203","207","231","231"
"58","D01305","NoB134",2023,"NorthBank","43.3254017","-123.22536220000001","f","13","7","142","170","159","167","141","149","113","125","191","191","203","203","227","243"
"59","D01306","NoB135",2023,"NorthBank","43.325306900000001","-123.225303","f","41","6","154","170","159","175","141","141","137","137","191","199","207","207",NA,NA
"60","D01308","NoB137",2023,"NorthBank","43.3252892","-123.224397","f","15","6","146","154","159","175","149","149","133","137","191","191","203","203",NA,NA
"61","D01309","NoB138",2023,"NorthBank","43.3248958","-123.2215061","f","14","5","170","170","179","179","141","149","131","133","183","195",NA,NA,NA,NA
"62","D01310","NoB139",2023,"NorthBank","43.3248417","-123.2213946","f","9","6","154","170","159","159","141","149","131","133","191","199","203","207",NA,NA
"63","D01311","NoB140",2023,"NorthBank","43.326826400000002","-123.2191461","f","45","5",NA,NA,"159","167","141","141","113","125","191","191","203","203",NA,NA
"64","D01312","NoB141",2023,"NorthBank","43.326814900000002","-123.2191263","f","46","5","142","170","167","167","141","141","125","125",NA,NA,"203","203",NA,NA
"65","D01313","NoB142",2023,"NorthBank","43.327072000000001","-123.21891340000001","f","14","5","170","170","179","179","141","149","131","133","183","195",NA,NA,NA,NA
"66","D01314","NoB143",2023,"NorthBank","43.327092499999999","-123.2188572","f","17","7","154","170","159","179","141","141","131","137","191","191","203","203","243","243"
"67","D01315","NoB144",2023,"NorthBank","43.327063000000003","-123.2188987","f","13","7","142","170","159","167","141","149","113","125","191","191","203","203","227","243"
